CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
8681,4WSO7A563JMRGAF9773N2ORG7LVVP7,"7.2 MW Bundled Wind Power Project by TCP Limited. In Tamilnadu, India.",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,SGS United Kingdom Limited (SGS),08-01-11,14-12-12,14-12-12,15-02-13,14-12-12,End of crediting period,Registered,Fixed,20-12-12,19-12-22,"13,738",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,7.2,None,,,,,,,,,,,,,IN(1201),2012m12,No,10-Oct-24
8687,7P6956IBG2F2FG1D0UU3UEGTITLSO9,Distribution of Improved cook stove - Phase IV,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,21-03-12,11-12-12,11-12-12,25-02-13,11-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"12,909",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1175),2012m12,No,10-Oct-24
8689,AO4C6P7V0YNV6K5ILG32HE8C0VXDBM,"Bundled Solar Photovoltic Power project at Chadiyana, Patan District in Gujarat",PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,29-03-12,13-12-12,13-12-12,08-04-13,21-12-12,End of crediting period,Registered,Renewable,30-12-12,29-12-19,"22,822",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,15,None,,,,,,,,,,,,,IN(1242),2023m10,Yes,10-Oct-24
8692,HVGROGOBNKYX7RFDWGXYH7YREOQQ7A,Renewable Wind Power Project by Ratnagiri Wind Power Projects Private Limited,PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),19-10-11,13-12-12,13-12-12,05-03-13,17-12-12,End of crediting period,Registered,Fixed,01-03-13,28-02-23,"109,581",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,65.6,None,,,,17.25,10.53,,,,,,,,IN(1206),2024m1,No,10-Oct-24
8693,683XE1YFZDYJHTW25G8YU4YIXXC0NC,Micro Scale Biogas CDM Project of BEST,PA,SMALL,1; 15,AMS-I.E. 4.0; AMS-III.R. 2.0,Methane avoidance,Domestic manure,TÜV Rheinland (China) Ltd. (TÜV Rheinland),20-04-12,12-12-12,12-12-12,01-03-13,18-12-12,End of crediting period,Registered,Renewable,01-01-14,31-12-20,"17,175",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1209),2012m12,Yes,10-Oct-24
8715,YNV3VQYFJ2F6Y94OSAO5CKHUSL4JKU,"Wind Power Project by Astra Lifecare (India) Private Limited at Gujarat, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,SGS United Kingdom Limited (SGS),04-06-11,14-12-12,14-12-12,28-01-13,14-12-12,End of crediting period,Registered,Renewable,14-12-12,13-12-19,"7,296",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5,None,"6,989,636",,,11.35,7.3,,,,,,,,IN(1193),2021m11,Yes,10-Oct-24
8718,ZH8UBFO7F8IYKKPJN89P855QKVFPX1,Solar Project in Rajasthan by Sunborne Energy Rajasthan Solar Private Limited,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RINA Services S.p.A. (RINA),05-07-12,12-12-12,12-12-12,19-02-13,12-12-12,End of crediting period,Registered,Renewable,20-12-12,19-12-19,"8,588",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5.4,None,,,,,,,,,,,,,IN(1179),2012m12,Yes,10-Oct-24
8725,9MTTJ8XSP8IUKSDRPA9YXOBQ2E9JEQ,Distribution of Improved cook stove - Phase V,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,22-03-12,13-12-12,13-12-12,25-02-13,13-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"13,062",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1189),2012m12,No,10-Oct-24
8729,ISA7CCNP2RRZZWZFE77C2SCGJHDCHI,Deepak WNA 2 N2O Abatement Project,PA,LARGE,5,ACM0019 1.0.0,N2O,Nitric acid,RWTÜV GmbH,15-12-11,13-12-12,13-12-12,19-02-13,18-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"50,908",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1211),2012m12,No,10-Oct-24
8731,Y13AWR6Y0N3S8HQZA622DA59M8Z6GZ,Deepak WNA 4 N2O Abatement Project,PA,LARGE,5,ACM0019 1.0.0,N2O,Nitric acid,RWTÜV GmbH,15-12-11,13-12-12,13-12-12,14-02-13,18-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"81,910",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1214),2012m12,No,10-Oct-24
8732,NNM0XBFREKDJSYY0ES2R5J5GVLMTAO,Distribution of Improved cook stove - Phase VI,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,22-03-12,14-12-12,14-12-12,25-02-13,14-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"12,990",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1196),2012m12,No,10-Oct-24
8744,451JEGQUQHORO1RNYB48RBE9TJ2WV9,3.3 MW Wind power project at Theni by FFF-Site SF158 & SF317,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,RWTÜV GmbH,29-06-11,13-12-12,13-12-12,20-02-13,13-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"7,051",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3.3,None,,,,11,7.64,10.92,,,,,,,IN(1182),2023m7,No,10-Oct-24
8745,1HUQHC8ROGSI6PWUW8IPWP3K3JV6DE,Distribution of Improved cook stove - Phase 7,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,22-03-12,13-12-12,13-12-12,25-02-13,13-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"12,999",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1185),2012m12,No,10-Oct-24
8746,1ZEYEQAUG5EEQWCMGX7W1Z5LL6NLXF,Distribution of Improved cook stove - Phase 8,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,22-03-12,14-12-12,14-12-12,25-02-13,14-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"12,627",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1198),2012m12,No,10-Oct-24
8749,HVLO1P9M5IV1DGR7W23LRJ9PC4S7DO,"Grid connected solar PV based power generation at Shivlakha, Kutch, India",PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,18-03-12,14-12-12,14-12-12,28-01-13,14-12-12,End of crediting period,Registered,Renewable,15-12-12,14-12-19,"8,451",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,5,None,,,,,,,,,,,,,IN(1194),2012m12,Yes,10-Oct-24
8766,A2KR569DEJZGL1SAOG61ZYPGE7RMCE,"Grid connected Wind Power Project by M/s Geetarani Mohanty at Tamil Nadu, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,29-01-11,14-12-12,14-12-12,29-01-13,14-12-12,End of crediting period,Registered,Fixed,17-12-12,16-12-22,"6,023",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3,None,"4,330,369",,,12.29,8.75,11.43,,,,,,,IN(1191),2012m12,No,10-Oct-24
8769,4ZJNTVMOF9HM2IA2W5EDUBBZ4INCPL,Distribution of Improved cook stove - Phase 9,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,27-03-12,14-12-12,14-12-12,25-02-13,14-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"13,196",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1190),2012m12,No,10-Oct-24
8771,BA2N3P38ADZQZB72OPQK86S5UNSN6I,Distribution of Improved cook stove - Phase 10,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,27-03-12,14-12-12,14-12-12,25-02-13,14-12-12,End of crediting period,Registered,Fixed,15-12-12,14-12-22,"12,619",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1202),2012m12,No,10-Oct-24
8772,Z0IZ6XALH2ZHA6A3DVV21BFAAPSKL2,Fuel switch measures at Owens Corning (India) Limited,PA,SMALL,4,AMS-II.D. 12.0,Fossil fuel switch,Oil to natural gas,RWTÜV GmbH,25-01-11,19-12-12,19-12-12,01-03-13,19-12-12,End of crediting period,Registered,Fixed,31-12-12,30-12-22,"13,222",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1227),2012m12,No,10-Oct-24
8784,IBK3RIR7HVE1SZLK7YZMZPZ02UW7TS,Micro Scale Biogas CDM Project of CROSS,PA,SMALL,1,AMS-I.E. 4.0,Methane avoidance,Domestic manure,TÜV Rheinland (China) Ltd. (TÜV Rheinland),20-04-12,14-12-12,14-12-12,01-03-13,18-12-12,Registered with issuances,Registered,Renewable,01-01-14,31-12-20,"16,456",Renewed,29-07-21,29-07-21,"15,233.00",01-01-21,31-12-27,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,26-10-17,15-09-21,"44,255",3,, -   ,3,"44,255",,None,,,,,,,,,,,,,IN(1218),2021m9,No,10-Oct-24
8786,QIEFHRSL9Q6L6RYU21KJPEKJ4IP0BE,"Jhalakoti Hydro Electric Power, Uttarkhand, India",PA,SMALL,1,AMS-I.D. 17.0,Hydro,Run of river,RINA Services S.p.A. (RINA),26-05-12,14-12-12,14-12-12,26-04-13,24-12-12,End of crediting period,Registered,Fixed,01-10-13,30-09-23,"53,480",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,12.5,None,,,,17.9,13.31,,,,,,,,IN(1264),2013m1,No,10-Oct-24
8789,KZQK5TYJUNHQ1FS9L1FGC1RS336W7F,"Wind Power Project at Tirupur District, Tamilnadu,India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,24-01-12,14-12-12,14-12-12,29-01-13,14-12-12,End of crediting period,Registered,Renewable,14-12-12,13-12-19,"6,852",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3.4,None,"5,543,505",,,14.96,6.52,,,,,,,,IN(1192),2012m12,Yes,10-Oct-24
8791,NF5SMICQV62IL20ZSJ8UPQ2FR46UB4,Nallakonda wind farm in Andhra Pradesh,PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,31-07-12,14-12-12,14-12-12,15-07-13,22-03-13,End of crediting period,Registered,Fixed,22-03-13,21-03-23,"100,630",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,19-04-16,23-08-19,"507,493",2,, -   ,2,"507,493",50.4,None,,,,17.07,9.53,,,,,,,,IN(1438),2023m10,No,10-Oct-24
8792,90XHKSWH0NLMEC1ZXSXYNSKDPVH0AI,8.45 MW bundled wind energy project in Gujarat,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,RINA Services S.p.A. (RINA),19-12-09,14-12-12,14-12-12,29-01-13,14-12-12,End of crediting period,Registered,Fixed,18-12-12,17-12-22,"14,818",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,8.45,None,"12,898,530",,,,,,,,,,,,IN(1197),2012m12,No,10-Oct-24
8801,KN91MCR4JER6XOKE0CBG5ZG0AHRKZV,CDM Project of Fuel Switch from Heavy Fuel Oil (HFO) to Liquefied Natural Gas (LNG) in Boiler,PA,SMALL,1,AMS-III.B. 16.0,Fossil fuel switch,Oil to natural gas,TÜV SÜD South Asia Private Limited (TÜV SÜD),26-04-12,19-12-12,19-12-12,28-02-13,19-12-12,End of crediting period,Registered,Fixed,19-12-12,18-12-22,"4,161",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,05-02-16,05-02-16,"3,857",1,1,137,1,"3,720",,None,,,,,,,,,,,,,IN(1220),2019m6,No,10-Oct-24
8802,22D8ZI0LA9FKSXH0W8KSUFX9DU767N,CDM Project of Fuel Switch from Heavy Fuel Oil (HFO) to Liquefied Natural Gas (LNG) in DG Sets,PA,SMALL,1,AMS-III.AH. 1.0,Fossil fuel switch,Oil to natural gas,TÜV SÜD South Asia Private Limited (TÜV SÜD),26-04-12,19-12-12,08-01-13,30-08-13,08-01-13,End of crediting period,Registered,Fixed,08-01-13,07-01-23,"14,042",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-06-16,10-06-16,"1,780",1,, -   ,1,"1,780",24.44,None,,,,,,,,,,,,,IN(1395),2019m6,No,10-Oct-24
8805,AJYFUQD1H4J09K9RBVQ4I72FY87IOW,"7.5 MW wind power project by Dhanji Developers at Nashik, Maharashtra, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,RWTÜV GmbH,07-08-09,18-12-12,18-12-12,04-03-13,18-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"11,826",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,7.5,None,"10,845,987",,,12,9.31,11.54,,,,,,,IN(1210),2015m10,No,10-Oct-24
8806,2KX43VUFAUD8U3E0WO0V6EN6ZOIF2F,Distribution of Improved cook stove - Phase 11,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,29-03-12,18-12-12,18-12-12,01-03-13,18-12-12,End of crediting period,Registered,Fixed,18-12-12,17-12-22,"12,756",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1215),2012m12,No,10-Oct-24
8807,I5FOW9FN4G8AVVECMJFOPY6USWDJ9S,Distribution of Improved cook stove - Phase 12,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,29-03-12,18-12-12,18-12-12,28-02-13,18-12-12,End of crediting period,Registered,Fixed,30-12-12,29-12-22,"13,233",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1212),2012m12,No,10-Oct-24
8808,KPG2MW2LEHWZBAKCF3A5ET0WNODM6I,Distribution of Improved cook stove - Phase 13,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,29-03-12,18-12-12,18-12-12,28-02-13,18-12-12,End of crediting period,Registered,Fixed,30-12-12,29-12-22,"12,748",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1216),2012m12,No,10-Oct-24
8809,O4UKS0SKW5QV1NT0WSRNGLAXXOAYMS,Distribution of Improved cook stove - Phase 14,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,30-03-12,19-12-12,19-12-12,01-03-13,19-12-12,End of crediting period,Registered,Fixed,30-12-12,29-12-22,"13,050",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1226),2012m12,No,10-Oct-24
8810,WBUKRQ86ZQP27EKQ5DFMI7CDZ5HNKT,Distribution of Improved cook stove- Phase 15,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,RWTÜV GmbH,30-03-12,19-12-12,19-12-12,04-03-13,19-12-12,End of crediting period,Registered,Fixed,30-12-12,29-12-22,"12,843",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(1225),2012m12,No,10-Oct-24
8818,FXFW7OB2G8ZPHFGA37CW06HL8FDOW7,Grid Connected Wind Power Generation Project by Ruchi Soya Industries Limited in Madhya Pradesh,PA,LARGE,1,ACM0002 13.0.0,Wind,Wind,RWTÜV GmbH,24-08-11,18-12-12,18-12-12,28-02-13,20-12-12,End of crediting period,Registered,Fixed,31-12-12,30-12-22,"21,127",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-08-16,03-08-16,"46,592",1,1,56,1,"46,536",10.8,None,"16,602,555",,,12.5,9.88,12.18,,,,,,,IN(1234),2016m8,No,10-Oct-24
8823,51ZY4MG9TEBV9RBFH5JNQTB13XTIWL,Wind Power Project in Gujarat,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,SGS United Kingdom Limited (SGS),24-02-12,17-12-12,17-12-12,10-05-13,26-12-12,End of crediting period,Registered,Fixed,26-12-12,25-12-22,"48,273",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,11-10-18,11-10-18,"48,050",1,1,775,1,"47,275",25.2,None,,,,15.59,7.65,,,,,,,,IN(1279),2018m10,No,10-Oct-24
8827,FMJOT4RCAXPOLXE72CAARWOW1ODEOA,2 x 1.5MW Wind Power Projects by Idupulapadu Cotton Mills Private Limited,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,02-09-10,18-12-12,18-12-12,28-02-13,18-12-12,End of crediting period,Registered,Fixed,01-01-13,31-12-22,"6,666",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3,None,"4,406,604",,,14.78,9.45,10.65,,,,,,,IN(1217),2012m12,No,10-Oct-24
8829,ZY01IR7SNGP060DLQLSD32R58AQWQB,"4.2 MW Wind Power CDM Project by Shri Tradco India Pvt. Ltd., Rajasthan, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),14-04-11,17-12-12,17-12-12,18-02-13,17-12-12,End of crediting period,Registered,Fixed,17-12-12,16-12-22,"6,030",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,4.2,None,"6,038,323",,,10.59,8.35,,,,,,,,IN(1203),2012m12,No,10-Oct-24
8833,4VTPB89FGQOI8APOU3ZXEOHC08KFBP,Bundled Wind Power Project- EnKing International (CDM.March-11-02),PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),19-07-11,18-12-12,18-12-12,27-02-13,18-12-12,Registered with issuances,Registered,Renewable,20-12-13,19-12-20,"14,212",Renewed,25-02-22,25-02-22,"14,007.00",20-12-20,19-12-27,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,10-11-22,10-11-22,"36,764",1,, -   ,1,"36,764",7.9,None,"11,589,058",,,,,,,,,,,,IN(1213),2022m11,No,10-Oct-24
8872,WYPHV9ZHESOLJ1H45AF0SOCBPUPYOD,"Rongnichu Hydroelectric Project (RHEP), India",PA,LARGE,1,ACM0002 13.0.0,Hydro,Run of river,RWTÜV GmbH,21-01-11,18-12-12,18-12-12,04-03-13,19-12-12,End of crediting period,Registered,Renewable,01-01-14,31-12-20,"319,713",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,96,None,"113,752,712",,,12.59,10.43,,,,,,,,IN(1221),2021m12,Yes,10-Oct-24
8890,JHQYQFG1WZ1YOOBMYNN0CTTMVD120F,Bundled Wind Power Project by Peethambra Granites Pvt Ltd (EKIESL-CDM. November -11-01),PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,TÜV Rheinland (China) Ltd. (TÜV Rheinland),19-04-12,19-12-12,19-12-12,21-03-13,19-12-12,Registered with issuances,Registered,Renewable,19-12-12,18-12-19,"7,833",Renewed,04-03-21,04-03-21,"8,223.00",19-12-19,18-12-26,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,23-07-18,29-06-22,"38,259",3,1,162,3,"38,097",4,None,"5,543,505",,,,,,,,,,,,IN(1224),2022m6,No,10-Oct-24
8892,M20I5PUZDP6A49DRW9P4DUME4774RS,Biomass based power project in Punjab,PA,SMALL,1,AMS-I.D. 17.0,Biomass Energy,Agricultural residues: other kinds,RWTÜV GmbH,05-09-11,19-12-12,29-07-13,08-11-13,29-07-13,End of crediting period,Registered,Fixed,29-07-13,28-07-23,"51,490",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10,None,"15,644,734",,,11.75,6.8,,,,,,,,IN(1469),2024m4,No,10-Oct-24
8893,LFFCZGAJKQEJAUFRD9FDHOP7IUEJW4,SPUL small scale Biomass based cogeneration project,PA,SMALL,1,AMS-I.C. 19.0,Biomass Energy,Agricultural residues: rice husk,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,13-10-10,19-12-12,19-12-12,19-03-13,21-12-12,End of crediting period,Registered,Renewable,01-01-13,31-12-19,"37,631",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6,None,"7,736,804",,,11,6.74,12.3,,,,,,,IN(1236),2012m12,Yes,10-Oct-24
8910,2NX5G7SW0OYA29W78NPINZ93E5OJQ4,8.0 MW Wind Power Project activity by Sree Iswarya Textiles Private Limited,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,TÜV Rheinland (China) Ltd. (TÜV Rheinland),12-07-12,20-12-12,20-12-12,10-05-13,26-12-12,Registered with a monitoring report/s,Registered,Renewable,01-01-13,31-12-19,"16,439",Renewed,18-03-21,18-03-21,"17,261.00",01-01-20,31-12-26,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,8,None,,,,11.5,8.47,,,,,,,,IN(1282),2024m5,No,10-Oct-24
8917,G6J0MWB6ICZ1F99DUEDOZF1D965A2C,"10 MW Solar Photovoltaic Power Plant in Rajkot, Gujarat (India)",PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,SGS United Kingdom Limited (SGS),10-07-12,19-12-12,19-12-12,30-07-13,31-12-12,End of crediting period,Registered,Fixed,31-12-12,30-12-22,"16,497",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,11-08-22,11-08-22,"108,519",1,1,42,1,"108,477",10,None,,,,,,,,,,,,,IN(1392),2022m8,No,10-Oct-24
8923,XH6APWIG89N5MWDCXEB44LD94Z7W4A,4 MW Solar Energy based Power Plant,PA,SMALL,1,AMS-I.D. 17.0,Solar,Solar PV,RWTÜV GmbH,16-06-11,20-12-12,20-12-12,25-02-13,20-12-12,End of crediting period,Registered,Renewable,25-12-12,24-12-19,"5,616",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,4,None,"5,210,000",,,,,,,,,,,,IN(1232),2012m12,Yes,10-Oct-24
8925,2F23MQCX91G67U27Q9S2QFF83F0169,2.10 MW Wind Project in Rajasthan,PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,13-05-11,21-12-12,21-12-12,02-04-13,21-12-12,End of crediting period,Registered,Fixed,21-12-12,20-12-22,"3,519",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2.1,None,"2,771,752",,,15.37,11.84,12,,,,,,,IN(1238),2012m12,No,10-Oct-24
8927,2WUCSJ1H0TYUQO21JCNKIR3NPA2H9S,"Wind energy based electricity generation project located at Chavaneswar, Satara district, Maharashtra, India",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,28-05-11,19-12-12,19-12-12,27-03-13,21-12-12,End of crediting period,Registered,Fixed,21-12-12,20-12-22,"23,708",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,13.6,None,"19,745,240",,,13.59,10.87,,,,,,,,IN(1244),2012m12,No,10-Oct-24
8935,DRS84S7TJKJBS3ATS2NOJ13NFX9ZJ4,GHG emission reductions through methane avoidance in North Bengal,PA,SMALL,15,AMS-III.D. 18.0,Methane avoidance,Manure,RINA Services S.p.A. (RINA),29-01-10,19-12-12,19-12-12,28-02-13,19-12-12,End of crediting period,Registered,Fixed,21-12-12,20-12-22,"12,815",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,11.51,9.13,,,,,,,,IN(1228),2012m12,No,10-Oct-24
